PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI
34236955	Thermococcus camini sp. nov., a hyperthermophilic and piezophilic archaeon isolated from a deep-sea hydrothermal vent at the Mid-Atlantic Ridge	Courtine D, Vince E, Maignien L, Philippon X, Gayet N, Shao Z, Alain K.	"Int J Syst Evol Microbiol. 2021 Jul;71(7). doi: 10.1099/ijsem.0.004853."	Courtine D	Int J Syst Evol Microbiol	2021	2021/07/08			10.1099/ijsem.0.004853
34114607	Going to extremes - a metagenomic journey into the dark matter of life	Aevarsson A, Kaczorowska AK, Adalsteinsson BT, Ahlqvist J, Al-Karadaghi S, Altenbuchner J, Arsin H, Átlasson ÚÁ, Brandt D, Cichowicz-Cieślak M, Cornish KAS, Courtin J, Dabrowski S, Dahle H, Djeffane S, Dorawa S, Dusaucy J, Enault F, Fedøy AE, Freitag-Pohl S, Fridjonsson OH, Galiez C, Glomsaker E, Guérin M, Gundesø SE, Gudmundsdóttir EE, Gudmundsson H, Håkansson M, Henke C, Helleux A, Henriksen JR, Hjörleifdóttir S, Hreggvidsson GO, Jasilionis A, Jochheim A, Jónsdóttir I, Jónsdóttir LB, Jurczak-Kurek A, Kaczorowski T, Kalinowski J, Kozlowski LP, Krupovic M, Kwiatkowska-Semrau K, Lanes O, Lange J, Lebrat J, Linares-Pastén J, Liu Y, Lorentsen SA, Lutterman T, Mas T, Merré W, Mirdita M, Morzywołek A, Ndela EO, Karlsson EN, Olgudóttir E, Pedersen C, Perler F, Pétursdóttir SK, Plotka M, Pohl E, Prangishvili D, Ray JL, Reynisson B, Róbertsdóttir T, Sandaa RA, Sczyrba A, Skírnisdóttir S, Söding J, Solstad T, Steen IH, Stefánsson SK, Steinegger M, Overå KS, Striberny B, Svensson A, Szadkowska M, Tarrant EJ, Terzian P, Tourigny M, Bergh TVD, Vanhalst J, Vincent J, Vroling B, Walse B, Wang L, Watzlawick H, Welin M, Werbowy O, Wons E, Zhang R.	"FEMS Microbiol Lett. 2021 Jun 24;368(12):fnab067. doi: 10.1093/femsle/fnab067."	Aevarsson A	FEMS Microbiol Lett	2021	2021/06/11			10.1093/femsle/fnab067
33893309	Brockarchaeota, a novel archaeal phylum with unique and versatile carbon cycling pathways	De Anda V, Chen LX, Dombrowski N, Hua ZS, Jiang HC, Banfield JF, Li WJ, Baker BJ.	"Nat Commun. 2021 Apr 23;12(1):2404. doi: 10.1038/s41467-021-22736-6."	De Anda V	Nat Commun	2021	2021/04/24	PMC8065059		10.1038/s41467-021-22736-6
33643258	Bioprospecting of Novel Extremozymes From Prokaryotes-The Advent of Culture-Independent Methods	Sysoev M, Grötzinger SW, Renn D, Eppinger J, Rueping M, Karan R.	"Front Microbiol. 2021 Feb 10;12:630013. doi: 10.3389/fmicb.2021.630013. eCollection 2021."	Sysoev M	Front Microbiol	2021	2021/03/01	PMC7902512		10.3389/fmicb.2021.630013
33608296	Metagenomic Insights into the Metabolic and Ecological Functions of Abundant Deep-Sea Hydrothermal Vent DPANN Archaea	Cai R, Zhang J, Liu R, Sun C.	"Appl Environ Microbiol. 2021 Apr 13;87(9):e03009-20. doi: 10.1128/AEM.03009-20. Print 2021 Apr 13."	Cai R	Appl Environ Microbiol	2021	2021/02/20	PMC8091004		10.1128/AEM.03009-20
33452477	Unexpectedly high mutation rate of a deep-sea hyperthermophilic anaerobic archaeon	Gu J, Wang X, Ma X, Sun Y, Xiao X, Luo H.	"ISME J. 2021 Jun;15(6):1862-1869. doi: 10.1038/s41396-020-00888-5. Epub 2021 Jan 15."	Gu J	ISME J	2021	2021/01/16	PMC8163891		10.1038/s41396-020-00888-5
33419739	Microbe-Mineral Interaction and Novel Proteins for Iron Oxide Mineral Reduction in the Hyperthermophilic Crenarchaeon Pyrodictium delaneyi	Kashyap S, Holden JF.	"Appl Environ Microbiol. 2021 Feb 26;87(6):e02330-20. doi: 10.1128/AEM.02330-20. Print 2021 Feb 26."	Kashyap S	Appl Environ Microbiol	2021	2021/01/09	PMC8105010		10.1128/AEM.02330-20
33277434	Complex subsurface hydrothermal fluid mixing at a submarine arc volcano supports distinct and highly diverse microbial communities	Reysenbach AL, St John E, Meneghin J, Flores GE, Podar M, Dombrowski N, Spang A, L'Haridon S, Humphris SE, de Ronde CEJ, Caratori Tontini F, Tivey M, Stucker VK, Stewart LC, Diehl A, Bach W.	"Proc Natl Acad Sci U S A. 2020 Dec 22;117(51):32627-32638. doi: 10.1073/pnas.2019021117. Epub 2020 Dec 4."	Reysenbach AL	Proc Natl Acad Sci U S A	2020	2020/12/05	PMC7768687		10.1073/pnas.2019021117
33139872	Microbial ecology of the newly discovered serpentinite-hosted Old City hydrothermal field (southwest Indian ridge)	Lecoeuvre A, Ménez B, Cannat M, Chavagnac V, Gérard E.	"ISME J. 2021 Mar;15(3):818-832. doi: 10.1038/s41396-020-00816-7. Epub 2020 Nov 2."	Lecoeuvre A	ISME J	2021	2020/11/03	PMC8027613		10.1038/s41396-020-00816-7
33022088	The first head-tailed virus, MFTV1, infecting hyperthermophilic methanogenic deep-sea archaea	Thiroux S, Dupont S, Nesbø CL, Bienvenu N, Krupovic M, L'Haridon S, Marie D, Forterre P, Godfroy A, Geslin C.	"Environ Microbiol. 2021 Jul;23(7):3614-3626. doi: 10.1111/1462-2920.15271. Epub 2020 Oct 19."	Thiroux S	Environ Microbiol	2021	2020/10/06			10.1111/1462-2920.15271
33013758	Cross-Stress Adaptation in a Piezophilic and Hyperthermophilic Archaeon From Deep Sea Hydrothermal Vent	Zhao W, Ma X, Liu X, Jian H, Zhang Y, Xiao X.	"Front Microbiol. 2020 Sep 10;11:2081. doi: 10.3389/fmicb.2020.02081. eCollection 2020."	Zhao W	Front Microbiol	2020	2020/10/05	PMC7511516		10.3389/fmicb.2020.02081
32900930	CO(2) reduction driven by a pH gradient	Hudson R, de Graaf R, Strandoo Rodin M, Ohno A, Lane N, McGlynn SE, Yamada YMA, Nakamura R, Barge LM, Braun D, Sojo V.	"Proc Natl Acad Sci U S A. 2020 Sep 15;117(37):22873-22879. doi: 10.1073/pnas.2002659117. Epub 2020 Sep 8."	Hudson R	Proc Natl Acad Sci U S A	2020	2020/09/09	PMC7502746		10.1073/pnas.2002659117
32317322	"""Candidatus Ethanoperedens,"" a Thermophilic Genus of Archaea Mediating the Anaerobic Oxidation of Ethane"	Hahn CJ, Laso-Pérez R, Vulcano F, Vaziourakis KM, Stokke R, Steen IH, Teske A, Boetius A, Liebeke M, Amann R, Knittel K, Wegener G.	"mBio. 2020 Apr 21;11(2):e00600-20. doi: 10.1128/mBio.00600-20."	Hahn CJ	mBio	2020	2020/04/23	PMC7175092		10.1128/mBio.00600-20
32239454	Thermococcus indicus sp. nov., a Fe(III)-reducing hyperthermophilic archaeon isolated from the Onnuri Vent Field of the Central Indian Ocean ridge	Lim JK, Kim YJ, Yang JA, Namirimu T, Yang SH, Park MJ, Kwon YM, Lee HS, Kang SG, Lee JH, Kwon KK.	"J Microbiol. 2020 Apr;58(4):260-267. doi: 10.1007/s12275-020-9424-9. Epub 2020 Apr 1."	Lim JK	J Microbiol	2020	2020/04/03			10.1007/s12275-020-9424-9
32222383	Complete genome sequence of Methanofervidicoccus sp. A16, a thermophilic methanogen isolated from Mid Cayman Rise hydrothermal vent	Wang L, Lai Q, Jebbar M, Shao Z, Alain K.	"Mar Genomics. 2020 Oct;53:100768. doi: 10.1016/j.margen.2020.100768. Epub 2020 Mar 26."	Wang L	Mar Genomics	2020	2020/03/31			10.1016/j.margen.2020.100768
32068866	Pervasive Suicidal Integrases in Deep-Sea Archaea	Badel C, Da Cunha V, Forterre P, Oberto J.	"Mol Biol Evol. 2020 Jun 1;37(6):1727-1743. doi: 10.1093/molbev/msaa041."	Badel C	Mol Biol Evol	2020	2020/02/19	PMC7253208		10.1093/molbev/msaa041
31935923	Metabolic Adaptation to Sulfur of Hyperthermophilic Palaeococcus pacificus DY20341(T) from Deep-Sea Hydrothermal Sediments	Zeng X, Zhang X, Shao Z.	"Int J Mol Sci. 2020 Jan 6;21(1):368. doi: 10.3390/ijms21010368."	Zeng X	Int J Mol Sci	2020	2020/01/16	PMC6981617		10.3390/ijms21010368
31911466	Genome- and Community-Level Interaction Insights into Carbon Utilization and Element Cycling Functions of Hydrothermarchaeota in Hydrothermal Sediment	Zhou Z, Liu Y, Xu W, Pan J, Luo ZH, Li M.	"mSystems. 2020 Jan 7;5(1):e00795-19. doi: 10.1128/mSystems.00795-19."	Zhou Z	mSystems	2020	2020/01/09	PMC6946796		10.1128/mSystems.00795-19
31713674	Characterization of an extremely thermo-active archaeal β-glucosidase and its activity towards glucan and mannan in concert with an endoglucanase	Schröder C, Eixenberger D, Suleiman M, Schäfers C, Antranikian G.	"Appl Microbiol Biotechnol. 2019 Dec;103(23-24):9505-9514. doi: 10.1007/s00253-019-10218-1. Epub 2019 Nov 12."	Schröder C	Appl Microbiol Biotechnol	2019	2019/11/13			10.1007/s00253-019-10218-1
31691434	Evidences of aromatic degradation dominantly via the phenylacetic acid pathway in marine benthic Thermoprofundales	Liu WW, Pan J, Feng X, Li M, Xu Y, Wang F, Zhou NY.	"Environ Microbiol. 2020 Jan;22(1):329-342. doi: 10.1111/1462-2920.14850. Epub 2019 Nov 22."	Liu WW	Environ Microbiol	2020	2019/11/07			10.1111/1462-2920.14850
31573126	Genome-resolved metagenomics and metatranscriptomics reveal niche differentiation in functionally redundant microbial communities at deep-sea hydrothermal vents	Galambos D, Anderson RE, Reveillaud J, Huber JA.	"Environ Microbiol. 2019 Nov;21(11):4395-4410. doi: 10.1111/1462-2920.14806. Epub 2019 Oct 17."	Galambos D	Environ Microbiol	2019	2019/10/02	PMC6899741		10.1111/1462-2920.14806
31378759	Metabolic Potential of As-yet-uncultured Archaeal Lineages of Candidatus Hydrothermarchaeota Thriving in Deep-sea Metal Sulfide Deposits	Kato S, Nakano S, Kouduka M, Hirai M, Suzuki K, Itoh T, Ohkuma M, Suzuki Y.	"Microbes Environ. 2019 Sep 25;34(3):293-303. doi: 10.1264/jsme2.ME19021. Epub 2019 Aug 3."	Kato S	Microbes Environ	2019	2019/08/06	PMC6759336		10.1264/jsme2.ME19021
31333590	A Genetic System for Methanocaldococcus jannaschii: An Evolutionary Deeply Rooted Hyperthermophilic Methanarchaeon	Susanti D, Frazier MC, Mukhopadhyay B.	"Front Microbiol. 2019 Jul 3;10:1256. doi: 10.3389/fmicb.2019.01256. eCollection 2019."	Susanti D	Front Microbiol	2019	2019/07/24	PMC6616113		10.3389/fmicb.2019.01256
31182769	Seeking active RubisCOs from the currently uncultured microbial majority colonizing deep-sea hydrothermal vent environments	Böhnke S, Perner M.	"ISME J. 2019 Oct;13(10):2475-2488. doi: 10.1038/s41396-019-0439-3. Epub 2019 Jun 10."	Böhnke S	ISME J	2019	2019/06/12	PMC6776054		10.1038/s41396-019-0439-3
31015394	Asgard archaea capable of anaerobic hydrocarbon cycling	Seitz KW, Dombrowski N, Eme L, Spang A, Lombard J, Sieber JR, Teske AP, Ettema TJG, Baker BJ.	"Nat Commun. 2019 Apr 23;10(1):1822. doi: 10.1038/s41467-019-09364-x."	Seitz KW	Nat Commun	2019	2019/04/25	PMC6478937		10.1038/s41467-019-09364-x
30843780	Methanofervidicoccus abyssi gen. nov., sp. nov., a hydrogenotrophic methanogen, isolated from a hydrothermal vent chimney in the Mid-Cayman Spreading Center, the Caribbean Sea	Sakai S, Takaki Y, Miyazaki M, Ogawara M, Yanagawa K, Miyazaki J, Takai K.	"Int J Syst Evol Microbiol. 2019 Apr;69(4):1225-1230. doi: 10.1099/ijsem.0.003297. Epub 2019 Mar 7."	Sakai S	Int J Syst Evol Microbiol	2019	2019/03/08			10.1099/ijsem.0.003297
30790413	Diverse anaerobic methane- and multi-carbon alkane-metabolizing archaea coexist and show activity in Guaymas Basin hydrothermal sediment	Wang Y, Feng X, Natarajan VP, Xiao X, Wang F.	"Environ Microbiol. 2019 Apr;21(4):1344-1355. doi: 10.1111/1462-2920.14568. Epub 2019 Mar 18."	Wang Y	Environ Microbiol	2019	2019/02/22			10.1111/1462-2920.14568
30768760	Deep-sea hydrothermal vent metagenome-assembled genomes provide insight into the phylum Nanoarchaeota	St John E, Flores GE, Meneghin J, Reysenbach AL.	"Environ Microbiol Rep. 2019 Apr;11(2):262-270. doi: 10.1111/1758-2229.12740."	St John E	Environ Microbiol Rep	2019	2019/02/16			10.1111/1758-2229.12740
30642991	Purification of a Crenarchaeal ATP Synthase in the Light of the Unique Bioenergetics of Ignicoccus Species	Kreuter LJ, Weinfurtner A, Ziegler A, Weigl J, Hoffmann J, Morgner N, Müller V, Huber H.	"J Bacteriol. 2019 Mar 13;201(7):e00510-18. doi: 10.1128/JB.00510-18. Print 2019 Apr 1."	Kreuter LJ	J Bacteriol	2019	2019/01/16	PMC6416916		10.1128/JB.00510-18
30547216	Extremely thermoactive archaeal endoglucanase from a shallow marine hydrothermal vent from Vulcano Island	Suleiman M, Schröder C, Klippel B, Schäfers C, Krüger A, Antranikian G.	"Appl Microbiol Biotechnol. 2019 Feb;103(3):1267-1274. doi: 10.1007/s00253-018-9542-z. Epub 2018 Dec 13."	Suleiman M	Appl Microbiol Biotechnol	2019	2018/12/15			10.1007/s00253-018-9542-z
30504216	Induction of a Toxin-Antitoxin Gene Cassette under High Hydrostatic Pressure Enables Markerless Gene Disruption in the Hyperthermophilic Archaeon Pyrococcus yayanosii	Song Q, Li Z, Chen R, Ma X, Xiao X, Xu J.	"Appl Environ Microbiol. 2019 Feb 6;85(4):e02662-18. doi: 10.1128/AEM.02662-18. Print 2019 Feb 15."	Song Q	Appl Environ Microbiol	2019	2018/12/04	PMC6365831		10.1128/AEM.02662-18
30479325	Expansive microbial metabolic versatility and biodiversity in dynamic Guaymas Basin hydrothermal sediments	Dombrowski N, Teske AP, Baker BJ.	"Nat Commun. 2018 Nov 27;9(1):4999. doi: 10.1038/s41467-018-07418-0."	Dombrowski N	Nat Commun	2018	2018/11/28	PMC6258724		10.1038/s41467-018-07418-0
30446552	Diversity in CO(2)-Concentrating Mechanisms among Chemolithoautotrophs from the Genera Hydrogenovibrio, Thiomicrorhabdus, and Thiomicrospira, Ubiquitous in Sulfidic Habitats Worldwide	Scott KM, Leonard JM, Boden R, Chaput D, Dennison C, Haller E, Harmer TL, Anderson A, Arnold T, Budenstein S, Brown R, Brand J, Byers J, Calarco J, Campbell T, Carter E, Chase M, Cole M, Dwyer D, Grasham J, Hanni C, Hazle A, Johnson C, Johnson R, Kirby B, Lewis K, Neumann B, Nguyen T, Nino Charari J, Morakinyo O, Olsson B, Roundtree S, Skjerve E, Ubaldini A, Whittaker R.	"Appl Environ Microbiol. 2019 Jan 23;85(3):e02096-18. doi: 10.1128/AEM.02096-18. Print 2019 Feb 1."	Scott KM	Appl Environ Microbiol	2019	2018/11/18	PMC6344615		10.1128/AEM.02096-18
30124324	Geological and Geochemical Constraints on the Origin and Evolution of Life	Sleep NH.	"Astrobiology. 2018 Sep;18(9):1199-1219. doi: 10.1089/ast.2017.1778. Epub 2018 Aug 20."	Sleep NH	Astrobiology	2018	2018/08/21			10.1089/ast.2017.1778
29414865	Development of an Effective 6-Methylpurine Counterselection Marker for Genetic Manipulation in Thermococcus barophilus	Birien T, Thiel A, Henneke G, Flament D, Moalic Y, Jebbar M.	"Genes (Basel). 2018 Feb 7;9(2):77. doi: 10.3390/genes9020077."	Birien T	Genes (Basel)	2018	2018/02/08	PMC5852573		10.3390/genes9020077
29354879	Metagenomic Signatures of Microbial Communities in Deep-Sea Hydrothermal Sediments of Azores Vent Fields	Cerqueira T, Barroso C, Froufe H, Egas C, Bettencourt R.	"Microb Ecol. 2018 Aug;76(2):387-403. doi: 10.1007/s00248-018-1144-x. Epub 2018 Jan 21."	Cerqueira T	Microb Ecol	2018	2018/01/23			10.1007/s00248-018-1144-x
29205750	Spatially distinct, temporally stable microbial populations mediate biogeochemical cycling at and below the seafloor in hydrothermal vent fluids	Fortunato CS, Larson B, Butterfield DA, Huber JA.	"Environ Microbiol. 2018 Feb;20(2):769-784. doi: 10.1111/1462-2920.14011. Epub 2017 Dec 15."	Fortunato CS	Environ Microbiol	2018	2017/12/06			10.1111/1462-2920.14011
29160003	Two viruses, MCV1 and MCV2, which infect Marinitoga bacteria isolated from deep-sea hydrothermal vents: functional and genomic analysis	Mercier C, Lossouarn J, Nesbø CL, Haverkamp THA, Baudoux AC, Jebbar M, Bienvenu N, Thiroux S, Dupont S, Geslin C.	"Environ Microbiol. 2018 Feb;20(2):577-587. doi: 10.1111/1462-2920.13967. Epub 2017 Dec 4."	Mercier C	Environ Microbiol	2018	2017/11/22			10.1111/1462-2920.13967
29066755	Genomic variation in microbial populations inhabiting the marine subseafloor at deep-sea hydrothermal vents	Anderson RE, Reveillaud J, Reddington E, Delmont TO, Eren AM, McDermott JM, Seewald JS, Huber JA.	"Nat Commun. 2017 Oct 24;8(1):1114. doi: 10.1038/s41467-017-01228-6."	Anderson RE	Nat Commun	2017	2017/10/26	PMC5655027		10.1038/s41467-017-01228-6
28853770	Hydrogenogenic and Sulfidogenic Growth of Thermococcus Archaea on Carbon Monoxide and Formate	Kozhevnikova DA, Taranov EA, Lebedinsky AV, Bonch-Osmolovskaya EA, Sokolova TG.	"Mikrobiologiia. 2016 Jul;85(4):381-392."	Kozhevnikova DA	Mikrobiologiia	2016	2017/08/31			
28835260	Genomic insights into potential interdependencies in microbial hydrocarbon and nutrient cycling in hydrothermal sediments	Dombrowski N, Seitz KW, Teske AP, Baker BJ.	"Microbiome. 2017 Aug 23;5(1):106. doi: 10.1186/s40168-017-0322-2."	Dombrowski N	Microbiome	2017	2017/08/25	PMC5569505		10.1186/s40168-017-0322-2
28698277	Deep-Sea Hydrothermal Vent Viruses Compensate for Microbial Metabolism in Virus-Host Interactions	He T, Li H, Zhang X.	"mBio. 2017 Jul 11;8(4):e00893-17. doi: 10.1128/mBio.00893-17."	He T	mBio	2017	2017/07/13	PMC5513705		10.1128/mBio.00893-17
28416654	Reconstructed ancestral enzymes suggest long-term cooling of Earth's photic zone since the Archean	Garcia AK, Schopf JW, Yokobori SI, Akanuma S, Yamagishi A.	"Proc Natl Acad Sci U S A. 2017 May 2;114(18):4619-4624. doi: 10.1073/pnas.1702729114. Epub 2017 Apr 17."	Garcia AK	Proc Natl Acad Sci U S A	2017	2017/04/19	PMC5422769		10.1073/pnas.1702729114
28206708	Physiological, metabolic and biotechnological features of extremely thermophilic microorganisms	Counts JA, Zeldes BM, Lee LL, Straub CT, Adams MWW, Kelly RM.	"Wiley Interdiscip Rev Syst Biol Med. 2017 May;9(3):10.1002/wsbm.1377. doi: 10.1002/wsbm.1377. Epub 2017 Feb 16."	Counts JA	Wiley Interdiscip Rev Syst Biol Med	2017	2017/02/17	PMC5400732	NIHMS839051	10.1002/wsbm.1377
28115547	Proteomic and Mutant Analysis of the CO(2) Concentrating Mechanism of Hydrothermal Vent Chemolithoautotroph Thiomicrospira crunogena	"Mangiapia M; USF MCB4404L; Brown TW, Chaput D, Haller E, Harmer TL, Hashemy Z, Keeley R, Leonard J, Mancera P, Nicholson D, Stevens S, Wanjugi P, Zabinski T, Pan C, Scott KM."	"J Bacteriol. 2017 Mar 14;199(7):e00871-16. doi: 10.1128/JB.00871-16. Print 2017 Apr 1."	Mangiapia M	J Bacteriol	2017	2017/01/25	PMC5350277		10.1128/JB.00871-16
27638197	Thermococcus piezophilus sp. nov., a novel hyperthermophilic and piezophilic archaeon with a broad pressure range for growth, isolated from a deepest hydrothermal vent at the Mid-Cayman Rise	Dalmasso C, Oger P, Selva G, Courtine D, L'Haridon S, Garlaschelli A, Roussel E, Miyazaki J, Reveillaud J, Jebbar M, Takai K, Maignien L, Alain K.	"Syst Appl Microbiol. 2016 Oct;39(7):440-444. doi: 10.1016/j.syapm.2016.08.003. Epub 2016 Aug 26."	Dalmasso C	Syst Appl Microbiol	2016	2016/09/18			10.1016/j.syapm.2016.08.003
27328615	Draft genome sequence of sulfur-reducing archaeon Thermococcus thioreducens DSM 14981(T)	Hong SJ, Park CE, Park GS, Kim MC, Jung BK, Shin JH.	"Braz J Microbiol. 2017 Jan-Mar;48(1):3-4. doi: 10.1016/j.bjm.2016.04.031. Epub 2016 Jun 4."	Hong SJ	Braz J Microbiol	2017	2016/06/23	PMC5220636		10.1016/j.bjm.2016.04.031
27260263	Pyrodictium delaneyi sp. nov., a hyperthermophilic autotrophic archaeon that reduces Fe(III) oxide and nitrate	Lin TJ, El Sebae G, Jung JH, Jung DH, Park CS, Holden JF.	"Int J Syst Evol Microbiol. 2016 Sep;66(9):3372-3376. doi: 10.1099/ijsem.0.001201. Epub 2016 Jun 3."	Lin TJ	Int J Syst Evol Microbiol	2016	2016/06/05	PMC6092747	NIHMS983150	10.1099/ijsem.0.001201
27250364	High hydrostatic pressure adaptive strategies in an obligate piezophile Pyrococcus yayanosii	Michoud G, Jebbar M.	"Sci Rep. 2016 Jun 2;6:27289. doi: 10.1038/srep27289."	Michoud G	Sci Rep	2016	2016/06/03	PMC4890121		10.1038/srep27289
27189596	Pyrococcus kukulkanii sp. nov., a hyperthermophilic, piezophilic archaeon isolated from a deep-sea hydrothermal vent	Callac N, Oger P, Lesongeur F, Rattray JE, Vannier P, Michoud G, Beauverger M, Gayet N, Rouxel O, Jebbar M, Godfroy A.	"Int J Syst Evol Microbiol. 2016 Aug;66(8):3142-3149. doi: 10.1099/ijsem.0.001160. Epub 2016 May 17."	Callac N	Int J Syst Evol Microbiol	2016	2016/05/19			10.1099/ijsem.0.001160
27016195	Analysis of the complete genome sequence of the archaeon Pyrococcus chitonophagus DSM 10152 (formerly Thermococcus chitonophagus)	Papadimitriou K, Baharidis PK, Georgoulis A, Engel M, Louka M, Karamolegkou G, Tsoka A, Blom J, Pot B, Malecki P, Rypniewski W, Huber H, Schloter M, Vorgias C.	"Extremophiles. 2016 May;20(3):351-61. doi: 10.1007/s00792-016-0826-x. Epub 2016 Mar 25."	Papadimitriou K	Extremophiles	2016	2016/03/27			10.1007/s00792-016-0826-x
26872039	Coupled RNA-SIP and metatranscriptomics of active chemolithoautotrophic communities at a deep-sea hydrothermal vent	Fortunato CS, Huber JA.	"ISME J. 2016 Aug;10(8):1925-38. doi: 10.1038/ismej.2015.258. Epub 2016 Feb 12."	Fortunato CS	ISME J	2016	2016/02/13	PMC5029171		10.1038/ismej.2015.258
26672397	Draft genome sequence of Thermococcus sp. EP1, a novel hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent on the East Pacific Rise	Zhou M, Liu Q, Xie Y, Dong B, Chen X.	"Mar Genomics. 2016 Apr;26:9-11. doi: 10.1016/j.margen.2015.11.014. Epub 2015 Dec 7."	Zhou M	Mar Genomics	2016	2015/12/18			10.1016/j.margen.2015.11.014
26573375	Genomic and transcriptomic evidence for scavenging of diverse organic compounds by widespread deep-sea archaea	Li M, Baker BJ, Anantharaman K, Jain S, Breier JA, Dick GJ.	"Nat Commun. 2015 Nov 17;6:8933. doi: 10.1038/ncomms9933."	Li M	Nat Commun	2015	2015/11/18	PMC4660358		10.1038/ncomms9933
26487573	Metagenomic investigation of the geologically unique Hellenic Volcanic Arc reveals a distinctive ecosystem with unexpected physiology	Oulas A, Polymenakou PN, Seshadri R, Tripp HJ, Mandalakis M, Paez-Espino AD, Pati A, Chain P, Nomikou P, Carey S, Kilias S, Christakis C, Kotoulas G, Magoulas A, Ivanova NN, Kyrpides NC.	"Environ Microbiol. 2016 Apr;18(4):1122-36. doi: 10.1111/1462-2920.13095. Epub 2015 Dec 21."	Oulas A	Environ Microbiol	2016	2015/10/22			10.1111/1462-2920.13095
