Date read	Pubmed ID	Journal	Title	FulltextLink	PMC	Certainty	Notes to sentences	Reviewed	Annotated	Sentences
						80%		X	x	Similarly, the oligotroph genome dataset consistently has a high number  of genes within COG0625 (GST) that are involved in detoxification  reactions, the degradation of xenobiotic compounds, and the catabolism  of recalcitrant compounds for carbon and energy, and other gene groups  (COG0179, COG1680, COG3485) involved in the degradation of several  aromatic substrates including β-lactamic compounds, tyrosine, and  catechol.
						80%		X	x	Copiotroph genomes also contain more repeats within clustered regularly interspaced short palindromic repeats (CRISPRs).
						90%		X	x	The Planctomycetes are characterized by interesting genomic traits, having a single copy of the rRNA operon (a feature of oligotrophs), while also possessing large genomes (a feature of copiotrophs).
13.12.2021								added	x	Specific clusters of orthologous groups (COGs) that were consistently overrepresented in copiotrophs included components of phosphotransferase systems (PTS) that are central for regulation and transport of sugars (COG1263, COG1299), Na+ transporters (COG0733), and a wide array of other highly specific transporters (COG0697, COG1292, COG2116, COG2704) and permeases (COG0697, COG0814, COG1114, COG1275, COG1972, COG2271, COG3104).
								added	x	The genomic analysis showed an overrepresentation across all copiotrophic datasets of enzymes such as chitinases (COG3325) and collagenases (COG0826).
								added	x	genomes of copiotrophs are overrepresented in highly efficient dissimilatory selenocysteine-containing dehydrogenases (COG0243), and to a lesser extent, components of alternative electron transport chains including COG0716 (flavodoxins), COG2863 (cytochrome c553), and COG3005 (nitrate/trimethylamine N-oxide reductases, membrane-bound tetraheme cytochrome c subunit).
								added	x	The capacity of copiotrophs to rapidly and tightly regulate metabolism and use energetically expensive transporters for nutrient acquisition is consistent with the presence of a high proportion of COGs related to transcription and signal transduction. A particularly strong bias is evident for COG0583 (transcriptional regulator), COG2207 (AraC-type DNA-binding domain-containing proteins), and COG3710 [DNA-binding winged-helix–turn–helix (HTH) domains].
								added	x	In addition to catabolic genes, genes involved in fatty acids biosynthesis are overrepresented in oligotrophs; i.e., most of the genes belonging to COG1028 are dehydrogenases with different specificities for short-chain alcohols.
								added	x	In addition, cytochrome P450 genes (COG2124) are present in S. alaskensis RB2256 (six copies) and absent in P. angustum S14, and the high frequency by which these genes occur is a conserved feature of oligotroph genomes.
										
										
	19734336	Applied and environmental microbiology	The Complete Genome of Comamonas testosteroni Reveals Its Genetic Adaptations to Changing Environments	https://journals.asm.org/doi/10.1128/AEM.00933-09?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y			X		NONE
	33888507	Microbiology resource announcements	Complete Genome Sequences of Thermus thermophilus Strains HB5002 and HB5008, Isolated from Mine Hot Spring in Japan	https://journals.asm.org/doi/10.1128/MRA.00272-21	Y			X		NONE
	32983016	Frontiers in microbiology	Novel Xanthomonas Species From the Perennial Ryegrass Seed  Microbiome – Assessing the Bioprotection Activity of Non-pathogenic  Relatives of Pathogens	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01991/full	Y			X	x	The assessment of 133 pathogenicity-related genes identified that the three Xanthomonas strains (GW, SS and SI) was devoid of the T3SS that is critical for pathogenicity of most Xanthomonas species
									x	This included an absence of the hrc genes, which encode the injectisome (Wagner et al., 2018), and the hrp genes, which are essential to suppress host plant defense responses for Xanthomonas species
	32797185	Genome biology and evolution	Comparative Genomics Underlines Multiple Roles of Profftella, an Obligate Symbiont of Psyllids: Providing Toxins, Vitamins, and Carotenoids	https://academic.oup.com/gbe/article-lookup/doi/10.1093/gbe/evaa175	Y			X		This is a stark contrast to the cases of Ca. Sulcia muelleri (Bacteroidota) and various lineages of coresident symbionts in which DNA substitution rates are 1–2 orders of magnitude higher in more recently acquired coresidents than in Sulcia
	22965120	Nucleic acids research	Massive gene acquisitions in Mycobacterium indicus pranii provide a perspective on mycobacterial evolution 	https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gks793	Y	80%		X	x	Mycobacterial genomes range from 3.5 to 7 Mb and MIP with a size of ∼5.6 Mb represents a moderate genome size, which is larger than all known organisms of MAC
							(Information storage and processing) COG-analysis 	X		In ‘ISP’, the distribution of genes across all mycobacterial proteomes is almost consistent for translation, ribosomal structure and biogenesis (J) and chromatin structure and RNA processing (B), while a clear genomic fluidity is exhibited by the genes belonging to replication, recombination and repair (L).
								X	x	In case of carbohydrate transport and metabolism (G), all mycobacterial species have almost an equal representation except M. smgematis
								X	x	we observe that saprophytic mycobacterium like MIP has only 38 transposons-like elements compared with 302 found in similar-sized pathogenic mycobacterial species M. ulcerans .
								X	x	The presence of PPE gene family is unique to mycobacteria among prokaryotes
								X	x	magnetotactic bacteria, which are also endowed with the abundance of hemerythrins
							M. tuberculosis complex (including M. marinum and M. ulcerans ) and M. avium complex	X	x	thiocyanate gene cluster is absent from all the pathogenic mycobacteria
								X	x	Thus, despite having PE-PPE genes and mce1 operon, which enable mycobacteria to invade the host cell, MIP lacks both mce2 and mce3 operons, which are essential for causing macrophage infections by M. tuberculosi s and M. avium
								X		Likewise, MIP lacks phospholipase ( plc ) ABCD genes, which are responsible for acquiring host fatty acids for their use as a potential carbon source during persistent infections both in tuberculous and non-tuberculous mycobacterial infections ( 79 ).
								X		Another factor crucial for mycobacterial pathogenicity is associated with the presence of latency-related genes that confer on mycobacteria the ability to survive and grow in microaerophilic environment for prolonged period of time.
								replaced	x	We could also identify putative homologs of ‘ hr’ genes in mycobacteria such as M. marinum and M. ulcerans (1 each), M. tuberculosis ( 3 ), M . gilvum and M. smegmatis (4 each), M. avium complex ( 5 ), other environmental mycobacteria like M. sps . KMS , M. sps. JLS and M. vanabaalenii (three each) and none in the case of M. leprae .
								X		
09.12.21	28774971	Genome announcements	Whole-Genome Sequence of Leuconostoc mesenteroides LT-38, a Non-Spore-Forming Gram-Positive Lactic Acid Bacterium	https://journals.asm.org/doi/10.1128/genomeA.00670-17	Y		NONE	X		
	28104661	Genome announcements	Draft Genome Sequences of Four Alkaliphilic Bacteria Belonging to the Anaerobacillus Genus	https://journals.asm.org/doi/10.1128/genomeA.01493-16	Y		NONE	X		
	19749045	Journal of bacteriology	Evidence that Human Chlamydia pneumoniae Was Zoonotically Acquired	https://journals.asm.org/doi/10.1128/JB.00746-09?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y	80%		X	x	The genome sequences of four epidemiologically distinct human-derived C. pneumoniae isolates were previously determined (18, 27, 31). These isolates are perceived as being genetically homogenous; this is supported by the fact that there are fewer than 300 single-nucleotide polymorphisms (SNPs) scattered around the chromosome in no discernible pattern
						70%		X		Gene truncation and fragmentation are also evident at several of these loci within the human-derived isolates,
						60%		X		There are 10 noteworthy regions of SNP accumulation (Fig. 1 and 4), representing genomic hot spots that are likely evolving at different rates in C. pneumoniae from koalas and humans.
						80%		X		The largest SNP hot spot corresponds to the plasticity zone (PZ), a region that encapsulates much of the sequence diversity in all chlamydial genomes
	19617360	Journal of bacteriology	Draft Genome Sequence of the Extremely Acidophilic Bacterium Acidithiobacillus caldus ATCC 51756 Reveals Metabolic Versatility in the Genus Acidithiobacillus	https://journals.asm.org/doi/10.1128/JB.00843-09?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y	60%		X	x	As in the case of A. ferrooxidans ATCC 23270 and other chemolithoautotrophic representatives, an incomplete tricarboxylic acid (TCA) cycle was detected, in which genes for the 2-oxogluatarate dehydrogenase enzyme complex were absent.
						70%		X	x	genes for sulfur and reduced inorganic sulfur compound oxidation were identified, including two gene clusters harboring the genes encoding the sulfur oxidation complex SOX (soxYZB-hyp-resB-soxAX-resC and soxYZA-hyp-SoxB), previously characterized in neutrophilic, chemoautotrophic bacteria
	15317790	Journal of bacteriology	Complete Genome Sequence of Rickettsia typhi and Comparison with Sequences of Other Rickettsiae	https://journals.asm.org/doi/10.1128/JB.186.17.5842-5855.2004?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y	100%		X	x	Rickettsial organisms have comparatively small genomes (1.1 to 1.3 Mb) that have arisen through reductive evolution as they developed dependence on the host cell for necessary functions (6). As a result, their genomes are littered with pseudogenes.
						30%		X		A second region of multiple rearrangements was located from 612 to 644 kb (Fig. 2). This region is similar in the two TG bacteria but differs from the SFG bacteria.
						70%		X	x	As in the other rickettsiae, the 16S rRNA gene was separated from the 23S and 5S rRNA genes.
						80%		X		These were genes for tmRNA, which is associated with trans-translation, the RNA component of RNase P, and the 4.5S RNA, which is associated with the signal recognition particle. All of these genes are present in the other rickettsial genomes, but not all were annotated.
						70%		X		two copies of bcr gene orthologs (RT0591 and RT0693) were found each in R. typhi, R. prowazekii, and R. conorii.
						70%		X	x	Two other possible resistance genes, the acriflavin resistance gene (acrD, RT0161) and a tellurite resistance gene (terC, RT0774) were found in the R. typhi genome. These two genes are also present in R. prowazekii and R. conorii
						80%		X	x	high level of conservation of the genes among the Rickettsia species
	15262951	Journal of bacteriology	Genetics of Metabolic Variations between Yersinia pestis Biovars and the Proposal of a New Biovar, microtus	https://journals.asm.org/doi/10.1128/JB.186.15.5147-5152.2004?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y	100%	NONE			
										
23/12/21	22493193	Journal of bacteriology	Whole-genome sequences of Bacillus subtilis and close relatives.	https://journals.asm.org/doi/10.1128/JB.05675-11?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y		NONE			
	19136599	Journal of bacteriology	Complete and draft genome sequences of six members of the Aquificales.	https://journals.asm.org/doi/10.1128/JB.01645-08?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y				x	What seems more diagnostic of the Aquificales is their ability to oxidize sulfur, and all genomes have a suite of sox genes and a sulfide:quinone oxidoreductase (sqr), which catalyzes the oxidation of sulfide to elemental sulfur.
	25211235	PloS one	Genome information of Methylobacterium oryzae, a plant-probiotic methylotroph in the phyllosphere.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0106704#pone.0106704-Knani1	Y				x	It also has the hpn genes (hpnHNKJI, MOC_1185, MOC_1187 and MOC_1189 to MOC_1191) encoding hopanoid biosynthesis proteins. Hopanoids are pentacyclic compounds that are similar to eukaryotic cholesterol in terms of their structure and function. Indeed, there is a report on the production of hopanoids by Methylobacterium [63].
							Species-specific			One interesting feature is that some completely sequenced Methylobacterium species have the pqqABC/DE genes as an operon, but in other species the pqqA gene is present separately.
							Species-specific			M. nodulans and Methylobacterium sp. 4–46 mainly exist in the rhizosphere, and are the only species that can fix atmospheric nitrogen with the presence of nif genes.
							Species-specific			M. oryzae and M. radiotolerans, not having the nitrogen-fixing genes, have many plant growth promotion-related genes including the accD gene, two genes encoding phytase, PQQ biosynthesis genes, the miaA gene, cobalamin-biosynthetic genes, and the C-P lyase system.
							Species-specific			Two phyllosphere groups that contain M. oryzae, M. radiotolerans and M. extorquens have more genes for signal transduction mechanisms (T) and cell motility (N) than the rhizosphere group that contain M. nodulans and Methylobacterium sp. 4–46. On the other hand, the rhizosphere group has more genes for secondary metabolites biosynthesis, transport and catabolism (Q).
									x	Methylotrophs are of polyphyletic origin [113], and the mxa gene cluster which is one of the major methylotrophy gene clusters is highly conserved among methylotrophs, including M. oryzae, that even belong to the Gamma- or Betaproteobacteria.
	23383127	PloS one	On the evolutionary history, population genetics and diversity among isolates of Salmonella Enteritidis PFGE pattern JEGX01.0004.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055254	Y		doesnt specifically name the genetic signatures		x	For example, the multicopper oxidase gene, (cueO, locus tag SEN0173), represents one gene with numerous genetic signatures unique to S. Enteritidis strains.
	20828392	BMC genomics	The genome of Geobacter bemidjiensis, exemplar for the subsurface clade of Geobacter species that predominate in Fe(III)-reducing subsurface environments.	https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-11-490	Y				x	Indeed, G. bemidjiensis and the other genomes of subsurface Geobacter species possess a very-long-chain fatty acyl-CoA dehydrogenase (fadE Gbem_2128) 50% identical to that of Bacillus subtilis[16], which is absent from G. sulfurreducens and G. metallireducens. 
									x	Most Geobacteraceae, which do not utilize glucose and galactose, possess only a putative glucose 6-kinase (Gbem_1326) similar to those of Streptomyces lividans and Streptomyces coelicolor[32, 33], a UDP-glucose/galactose 4-epimerase (Gbem_3215) and a different putative galactose-1-phosphate uridylyltransferase.
									x	All Geobacteraceae encode at least one iron-sulfur-oxygen hybrid cluster protein, thought to detoxify an unidentified reactive compound in response to nitric oxide stress [57], as well as hydrogen peroxide stress
	29348360	Genome announcements	Strains Isolated from Human Skin.				NONE			
	29097460	Genome announcements	Twelve Complete Reference Genomes of Clinical Isolates in the Capnocytophaga Genus	https://journals.asm.org/doi/10.1128/genomeA.01186-17			NONE			
	23299977	Genome research	A genomic portrait of the emergence, evolution, and global spread of a methicillin-resistant Staphylococcus aureus pandemic.	https://genome.cshlp.org/content/23/4/653.long			NONE			
	11679669	Science (New York, N.Y.)	Comparative genomics of Listeria species.	N	N					
	25093936	Journal of biotechnology	Complete genome sequence of the gram-negative probiotic Escherichia coli strain Nissle 1917.	N	N					
	1943701	Molecular microbiology	The gef gene from Escherichia coli is regulated at the level of translation.	N	N					
	23707974	Nature biotechnology	Genome sequences of rare, uncultured bacteria obtained by differential coverage binning of multiple metagenomes.	N	N					
	28234349	The ISME journal	Genomic changes associated with the evolutionary transition of an insect gut symbiont into a blood-borne pathogen.	https://www.nature.com/articles/ismej2016201	Y				x	The conservation of the vitamin B12 biosynthesis pathway is particularly interesting. This pathway involves over 30 different steps, but only a few enzymes require vitamin B12 as cofactor, including methylmalonyl CoA mutase (MCM, EC 5.4.99.2) and methionine synthase H (MetH, EC 2.1.1.13). Both enzymes are encoded in the genomes of B. apis and B. tamiae, but are absent from the eubartonellae.
									x	Another group of conserved virulence factors, which show distinct patterns of evolution within the three major lineages of Bartonellae are hemin-binding proteins (Hbp).
	23190728	The ISME journal	By their genes ye shall know them: genomic signatures of predatory bacteria.	https://www.nature.com/articles/ismej2012149					x	The most striking proteomic difference between predators and non-predators is in their method of synthesizing isoprenoids: all predators except M. aeruginosavorus encode genes coding for the mevalonate pathway but lack genes coding for the non-mevalonate (also known as the 1-deoxy-d-xylulose-5-phosphate or DOXP) pathway, whereas the opposite is true for the non-predators.
									x	Another significant difference is found in the use of an archeal-eukaryotic GlyRS α2 dimer uncommon in Bacteria (Woese et al., 2000; Wolf et al., 1999), by all obligate and almost all facultative predators instead of the more frequent α2/β2 tetramer composed of two different subunits in non-predators.
									x	Accordingly, enzymes forming the DOXP pathway, which is used by plants, apicomplexan protozoa and most bacteria, are conspicuously absent from almost all predators and were detected as enriched for in non-predators.
	22717884	The ISME journal	Phaeobacter gallaeciensis genomes from globally opposite locations reveal high similarity of adaptation to surface life.	https://www.nature.com/articles/ismej201262					x	Comparative genome analysis revealed that GTA-like structures are widespread among genomes of organisms affiliated with the Rhodobacterales (Lang and Beatty, 2007).
										The two Phaeobacter genomes possess 74 orthologous genes that are not present in other Roseobacter clade organisms using a 30% similarity cut-off based on a Needleman–Wunsch alignment (Supplementary Material S7). The majority of these genes have no functional annotation; however, two functions can potentially be used as unique chemotaxonomic markers for the species. These two gene markers were not found in the ANG1 draft genome, further supporting their potential uniqueness to P. gallaeciensis. The first refers to two copies of a chromosomally encoded D-alanine-poly(phosphoribitol) ligase (dltA), which is involved in biosynthesis of D-alanyl-lipoteichoic acid.
									x	PFAM (protein family) motifs were identified in several of the proteins that are present in the dlt operon of Gram-positive bacteria (Glaser, 1995).
									x	The dltA genes are part of a larger cluster of 19 Phaeobacter unique genes (PGA1_c13610-PGA1_c13830 in DSM 17395).
									x	These ORFs share homology with the metH gene of Escherichia coli and with the S. meliloti betaine-homocysteine methyltransferase gene bmt, which represents a link between methionine biosynthesis and glycine betaine degradation in this organism (Barra et al., 2006).
									x	The Phaeobacter ORFs have only one-third of the size of metH and lack the cobalamin binding, the activation and the pterin-binding domains. Nevertheless, the vitamin B12-binding domains are encoded in ORFs (PGA1_c13350/PGA2_c13290) in the vicinity. The activation domain might be substituted by PGA1_c13360 (PGA2_c13300) that encodes a radical SAM domain (PF04055), which is thought to catalyze unusual methylation reactions (Sofia et al., 2001). Together, these three ORFs might code for enzymes that substitute both MetH, known from E. coli, and Bmt from S. meliloti. These genes and their arrangement are also present in other Roseobacter species
										
	27965456	mBio	Comprehensive Genome Analysis of Carbapenemase-Producing Enterobacter spp.: New Insights into Phylogeny, Population Structure, and Resistance Mechanisms.	https://journals.asm.org/doi/10.1128/mBio.02093-16	Y		NONE			
	25053789	mBio	Parallel evolution of Streptococcus pneumoniae and Streptococcus mitis to pathogenic and mutualistic lifestyles.	https://journals.asm.org/doi/10.1128/mBio.01490-14	Y		NONE			
	29040502	FEMS microbiology ecology	Comparative genomics of the genus Desulfitobacterium.	https://academic.oup.com/femsec/article/93/12/fix135/4443196	N				x	In agreement with this, we found genes encoding the dissimilatory sulfite reductase, dsrAB, in the genomes of all desulfitobacteria, except D. metallireducens.
									x	Four to 23 putative OdmA encoding genes have been reported in D. hafniense, D. dehalogenans and D. dichloroeliminans, and none in D. metallireducens (Nonaka et al.2006; Kim et al.2012; Mingo, Studenik and Diekert 2014) (Fig. S6, Supporting Information; Table 3). Their occurrence in nearly all Desulfitobacterium spp. genomes suggests that O-methylated compounds are important electron donors for Desulfitobacterium spp.
									x	A cytoplasmic membrane-bound Ni-Fe hydrogenase (Hyf), found in all Desulfitobacterium spp., consists of six subunits, four of which are membrane integral. The corresponding gene cluster resembles the hyfBCEFGI components of the formate hydrogen lyase (FHL) 4 complex-encoding gene cluster (hyfABCDEFGHIR-focB) described for E. coli
									x	That said, unlike for E. coli, no formate-specific genes (e.g. the formate transporter focB) are found in the cluster, making the formation of an FHL complex in Desulfitobacterium unsure, despite the occurrence of a gene encoding a cytoplasmic formate dehydrogenase.
									x	We found that all analyzed genomes from Desulfitobacterium spp. encode intact cobalamin synthesis pathways, indicating that this is a general trait of this genus (Table 3). The synthesis pathway is organized similarly in all analyzed desulfitobacteria. It consists of three clusters (I–III) located separately in the genomes (Fig. 5). Cluster I encodes the proteins needed for synthesis of the basic ring structure from glutamyl-tRNA to sirohydrochlorin (also called factor II); cluster II encodes the steps starting from cobalt insertion until adenosyl cobinamide; and finally cluster III encodes all proteins needed for insertion of the lower ligand leading to cobalamin, with the exception of cobC that is located elsewhere in the genome
									x	All analyzed genomes of Desulfitobacterium spp. with the exception of D. dichloroeliminans encode one copy of the menFDHCEBIAG MK synthesis pathway
	29427765	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Comparative genome analysis reveals a complex population structure of Legionella pneumophila subspecies.	N	N					
	28619474	International journal of medical microbiology : IJMM	High metabolic versatility of different toxigenic and non-toxigenic Clostridioides difficile isolates.	N	N					
	23505045	Molecular biology and evolution	Chromosome painting in silico in a bacterial species reveals fine population structure.				NONE			
	29530765	Genomics	Complete genome sequence of Pseudomonas frederiksbergensis ERDD5:01 revealed genetic bases for survivability at high altitude ecosystem and bioprospection potential.	https://www.sciencedirect.com/science/article/pii/S0888754318301526?via%3Dihub	N				x	Bacteria have evolved to adapt to temperature downshift primarily through the production of nucleic acid chaperons known as cold-shock proteins (Csps) [42]. Genome analysis of ERDD5:01 showed occurrence of multiple copies of genes encoding for cold active chaperons and cold-shock inducible proteins (CspD, ClpB, GroEL, GroES, HscA/HscB, Hsp33, SurA, FliS, SecB, HtpG) (Table 2). Presence of such genes for Csps in higher copy number has been observed in other psychrotrophic bacteria such as Pseudoalteromonas haloplanktis; Arthrobacter sp., and Bacillus psychrophilus
	26877770	Gut pathogens	Whole genome sequencing of "Faecalibaculum rodentium" ALO17, isolated from C57BL/6J laboratory mouse feces.	https://gutpathogens.biomedcentral.com/articles/10.1186/s13099-016-0087-3	Y		NONE			
	31066221	MicrobiologyOpen	Enterobacter oligotrophica sp. nov., a novel oligotroph isolated from leaf soil.	https://onlinelibrary.wiley.com/doi/10.1002/mbo3.843	Y		NONE			
	17579514	PLoS biology	Evolution of symbiotic bacteria in the distal human intestine.	https://dx.plos.org/10.1371/journal.pbio.0050156	Y				x	The two most prominently represented COG categories in each of the gut-associated Bacteroidetes proteomes are G (carbohydrate transport and metabolism) and M (cell wall/membrane/envelope biogenesis). The two most prominent COG categories in their shared proteome are E (amino acid transport and metabolism) and J (translation, ribosomal structure, and biogenesis)
	15984913	PLoS biology	The genome sequence of Rickettsia felis identifies the first putative conjugative plasmid in an obligate intracellular parasite.	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0030248	Y				x	Besides long repeats, Rickettsia genomes are known to contain a number of small palindromic repeats (Rickettsia palindromic elements [RPEs]) capable of invading both coding and noncoding regions [16].
							paralogous		x	The genomes of five Rickettsia species (R. prowazekii, R. typhi, R. conorii, R. sibirica, and R. felis) exhibit chromosomal patatin-like phospholipase gene (pat1). Gene organization around pat1 is similar between these Rickettsia.
									x	The sca family is one of the largest paralogous gene families in Rickettsia [8].
									x	Only ompB and sca4 are conserved in all available Rickettsia genomes [19], remaining members being degraded or absent in one or more species.
										Notably, every sequenced Rickettsia genome encodes at least one ORF exhibiting hydrolase catalytic residues and one ORF exhibiting synthetase catalytic residues, suggesting that both hydrolase and synthetase functions are required for Rickettsia.
									x	The toxin–antitoxin modules have also been found on the chromosomes of many free-living prokaryotes, but have rarely been found in obligate intracellular bacteria
									x	Anaplasma phagocytophilum, a closely related intracellular α-proteobacterium, exhibits a protein containing ankyrin repeats (AnkA), which was detected in the cytoplasm and the nucleus of infected eukaryotic cells (human leukemia-60)
									x	Only Leptospira interrogans (the agent of leptospirosis), Treponema species (including the agent of syphilis), and L. pneumophila [31] exhibit a high number of both TPR and ankyrin repeats.
									x	Among other bacteria, only A. tumefasciens, Thermotoga maritima, and Sinorhizobium melitoti were found to exhibit HEPN-containing genes
									x	Two R. felis–specific ORFs (RF0449 and RF0855) exhibit the complete NACHT NTPase domain. In eukaryotes, this NTPase domain has been found in proteins implicated in apoptosis as well as in immune/inflammatory responses [38]. The presence of this domain in other bacterial ORFs is limited to several lineages, such as cyanobacteria and Streptomyces, and their functions are unknown.
									x	Altogether, flea-infecting bacteria appear to exhibit a specific evolution (i.e., more repeats, transposases, and/or integrases) compared with their non-flea-infecting neighbors.
	25237024	Genome announcements	Whole-genome sequences of 24 Brucella strains.	https://journals.asm.org/doi/10.1128/genomeA.00915-14	Y		NONE			
	7904973	Gene	Cloning and organization of the abc and mdl genes of Escherichia coli: relationship to eukaryotic multidrug resistance.	N	N					
	19893622	PLoS genetics	Localized plasticity in the streamlined genomes of vinyl chloride respiring Dehalococcoides.	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000714	Y				x	The low number of core rdhAB, contrasted with the high rdhAB numbers per genome (up to 36 in strain VS), as well as their colocalization with GEIs and other signatures for horizontal transfer, suggests that niche adaptation via organohalide respiration is a fundamental ecological strategy in Dehalococccoides.
	19283063	PLoS genetics	The complete genome and proteome of Laribacter hongkongensis reveal potential mechanisms for adaptations to different temperatures and habitats.	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000416	Y				x	The L. hongkongensis genome lacks a complete set of enzymes for glycolysis, with orthologues of glucokinase, 6-phosphofructokinase and pyruvate kinase being absent (Table S1). This is compatible with its asaccharolytic phenotype and is consistent with other asaccharolytic bacteria, such as Campylobacter jejuni, Bordetella pertussis, Bordetella parapertussis and Bordetella bronchiseptica, in that glucokinase and 6-phosphofructokinase are also absent from their genomes [18],[19].
